Indicator,Country,Time,Value,Flags
Percentage of students in pre-primary education who are female (%),Philippines,2006,49.45082,
Percentage of students in pre-primary education who are female (%),Philippines,2007,49.53874,
Percentage of students in pre-primary education who are female (%),Philippines,2008,49.43441,
Percentage of students in pre-primary education who are female (%),Philippines,2009,49.26731,
Percentage of students in primary education who are female (%),Estonia,1999,47.91783,
Percentage of students in primary education who are female (%),Estonia,2000,47.89637,
Percentage of students in primary education who are female (%),Estonia,2001,47.69416,
Percentage of students in primary education who are female (%),Estonia,2002,47.75169,
Percentage of students in primary education who are female (%),Estonia,2003,47.7164,
Percentage of students in primary education who are female (%),Estonia,2004,47.88486,
Percentage of students in primary education who are female (%),Estonia,2005,47.92901,
Percentage of students in primary education who are female (%),Estonia,2006,48.02674,
Percentage of students in primary education who are female (%),Estonia,2007,48.28743,
Percentage of students in primary education who are female (%),Estonia,2008,48.22388,
Percentage of students in primary education who are female (%),Estonia,2009,48.21174,
Percentage of students in primary education who are female (%),Estonia,2010,48.27222,
Percentage of students in primary education who are female (%),Estonia,2011,48.56544,
Percentage of students in primary education who are female (%),Estonia,2012,48.62288,
Percentage of students in primary education who are female (%),Japan,1999,48.77267,
Percentage of students in primary education who are female (%),Japan,2000,48.76428,
Percentage of students in primary education who are female (%),Japan,2001,48.7767,
Percentage of students in primary education who are female (%),Japan,2002,48.78023,
Percentage of students in primary education who are female (%),Japan,2003,48.79416,
Percentage of students in primary education who are female (%),Japan,2004,48.78129,
Percentage of students in primary education who are female (%),Japan,2005,48.79869,
Percentage of students in primary education who are female (%),Japan,2006,48.80791,
Percentage of students in primary education who are female (%),Japan,2007,48.79654,
Percentage of students in primary education who are female (%),Japan,2008,48.77917,
Percentage of students in primary education who are female (%),Japan,2009,48.76161,
Percentage of students in primary education who are female (%),Japan,2010,48.75134,
Percentage of students in primary education who are female (%),Japan,2011,48.73989,
Percentage of students in primary education who are female (%),Japan,2012,48.73673,
Percentage of students in post-secondary non-tertiary education who are female (%),Sweden,1999,48.99707,
Percentage of students in post-secondary non-tertiary education who are female (%),Sweden,2000,48.72888,
Percentage of students in post-secondary non-tertiary education who are female (%),Sweden,2001,49.53917,
Percentage of students in post-secondary non-tertiary education who are female (%),Sweden,2002,47.92925,
Percentage of students in post-secondary non-tertiary education who are female (%),Sweden,2003,49.87628,
Percentage of students in post-secondary non-tertiary education who are female (%),Sweden,2004,42.30697,
Percentage of students in post-secondary non-tertiary education who are female (%),Sweden,2005,46.57078,
Percentage of students in post-secondary non-tertiary education who are female (%),Sweden,2006,50.40632,
Percentage of students in post-secondary non-tertiary education who are female (%),Sweden,2007,55.26316,
Percentage of students in post-secondary non-tertiary education who are female (%),Sweden,2008,51.50279,
Percentage of students in post-secondary non-tertiary education who are female (%),Sweden,2009,58.49353,
Percentage of students in post-secondary non-tertiary education who are female (%),Sweden,2010,56.68231,
Percentage of students in post-secondary non-tertiary education who are female (%),Sweden,2011,55.94412,
Percentage of students in post-secondary non-tertiary education who are female (%),Sweden,2012,58.29088,
Percentage of students in primary education who are female (%),Mali,1999,41.00299,
Percentage of students in primary education who are female (%),Mali,2000,42.02012,
Percentage of students in primary education who are female (%),Mali,2001,41.65573,
Percentage of students in primary education who are female (%),Mali,2002,42.34156,
Percentage of students in primary education who are female (%),Mali,2003,42.68147,
Percentage of students in primary education who are female (%),Mali,2004,43.11712,
Percentage of students in primary education who are female (%),Mali,2005,43.41183,
Percentage of students in primary education who are female (%),Mali,2006,44.01256,
Percentage of students in primary education who are female (%),Mali,2007,44.41284,
Percentage of students in primary education who are female (%),Mali,2008,44.83529,
Percentage of students in primary education who are female (%),Mali,2009,45.13498,
Percentage of students in primary education who are female (%),Mali,2010,45.48931,
Percentage of students in primary education who are female (%),Mali,2011,45.84102,
Percentage of students in primary education who are female (%),Mali,2012,45.94913,
Percentage of students in primary education who are female (%),Saint Vincent and the Grenadines,1999,47.53503,
Percentage of students in primary education who are female (%),Saint Vincent and the Grenadines,2000,48.1885,
Percentage of students in primary education who are female (%),Saint Vincent and the Grenadines,2001,48.33613,
Percentage of students in primary education who are female (%),Saint Vincent and the Grenadines,2002,48.38941,
Percentage of students in primary education who are female (%),Saint Vincent and the Grenadines,2003,48.66069,
Percentage of students in primary education who are female (%),Saint Vincent and the Grenadines,2004,48.36907,
Percentage of students in primary education who are female (%),Saint Vincent and the Grenadines,2005,47.02654,
Percentage of students in primary education who are female (%),Saint Vincent and the Grenadines,2007,48.25465,
Percentage of students in primary education who are female (%),Saint Vincent and the Grenadines,2008,47.38604,
Percentage of students in primary education who are female (%),Saint Vincent and the Grenadines,2009,47.78322,
Percentage of students in primary education who are female (%),Saint Vincent and the Grenadines,2010,47.66193,
Percentage of students in primary education who are female (%),Saint Vincent and the Grenadines,2011,48.70912,
Percentage of students in primary education who are female (%),Saint Vincent and the Grenadines,2012,48.49033,
Percentage of students in pre-primary education who are female (%),Countries in transition,1999,47.33931,ﾇ
Percentage of students in pre-primary education who are female (%),Countries in transition,2000,47.57822,
Percentage of students in pre-primary education who are female (%),Countries in transition,2001,47.54142,
Percentage of students in pre-primary education who are female (%),Countries in transition,2002,47.59519,
Percentage of students in pre-primary education who are female (%),Countries in transition,2003,47.56496,
Percentage of students in pre-primary education who are female (%),Countries in transition,2004,47.22227,
Percentage of students in pre-primary education who are female (%),Countries in transition,2005,47.61097,
Percentage of students in pre-primary education who are female (%),Countries in transition,2006,47.61786,
Percentage of students in pre-primary education who are female (%),Countries in transition,2007,47.7108,
Percentage of students in pre-primary education who are female (%),Countries in transition,2008,48.32899,
Percentage of students in pre-primary education who are female (%),Countries in transition,2009,48.29219,
Percentage of students in pre-primary education who are female (%),Countries in transition,2010,48.30075,ﾇ
Percentage of students in pre-primary education who are female (%),Countries in transition,2011,48.3162,
Percentage of students in pre-primary education who are female (%),Countries in transition,2012,48.33187,
Percentage of students in pre-primary education who are female (%),Croatia,1999,48.21622,
Percentage of students in pre-primary education who are female (%),Croatia,2000,47.99943,
Percentage of students in pre-primary education who are female (%),Croatia,2001,47.90117,
Percentage of students in pre-primary education who are female (%),Croatia,2002,47.542,
Percentage of students in pre-primary education who are female (%),Croatia,2003,48.05703,
Percentage of students in pre-primary education who are female (%),Croatia,2004,47.91732,
Percentage of students in pre-primary education who are female (%),Croatia,2005,48.20533,
Percentage of students in pre-primary education who are female (%),Croatia,2006,48.21762,
Percentage of students in pre-primary education who are female (%),Croatia,2007,47.79157,
Percentage of students in pre-primary education who are female (%),Croatia,2008,47.69175,
Percentage of students in pre-primary education who are female (%),Croatia,2009,47.69149,
Percentage of students in pre-primary education who are female (%),Croatia,2010,48.23948,
Percentage of students in pre-primary education who are female (%),Croatia,2011,47.9427,
Percentage of students in pre-primary education who are female (%),Croatia,2012,48.00548,
Percentage of students in pre-primary education who are female (%),Kuwait,1999,48.9009,
Percentage of students in pre-primary education who are female (%),Kuwait,2000,48.71619,
Percentage of students in pre-primary education who are female (%),Kuwait,2001,48.81923,
Percentage of students in pre-primary education who are female (%),Kuwait,2002,48.62886,
Percentage of students in pre-primary education who are female (%),Kuwait,2003,48.96531,
Percentage of students in pre-primary education who are female (%),Kuwait,2004,48.54938,
Percentage of students in pre-primary education who are female (%),Kuwait,2005,50.04211,
Percentage of students in pre-primary education who are female (%),Kuwait,2006,48.49985,
Percentage of students in pre-primary education who are female (%),Kuwait,2007,48.74433,
Percentage of students in pre-primary education who are female (%),Kuwait,2008,48.9135,
Percentage of students in pre-primary education who are female (%),Kuwait,2010,48.58621,
Percentage of students in pre-primary education who are female (%),Kuwait,2011,49.16799,
Percentage of students in pre-primary education who are female (%),Kuwait,2012,48.83407,
Percentage of students in primary education who are female (%),Developed countries,1999,48.85075,
Percentage of students in primary education who are female (%),Developed countries,2000,48.53488,
Percentage of students in primary education who are female (%),Developed countries,2001,48.65054,
Percentage of students in primary education who are female (%),Developed countries,2002,48.71833,
Percentage of students in primary education who are female (%),Developed countries,2003,48.68617,
Percentage of students in primary education who are female (%),Developed countries,2004,48.62671,
Percentage of students in primary education who are female (%),Developed countries,2005,48.57428,
Percentage of students in primary education who are female (%),Developed countries,2006,48.75318,
Percentage of students in primary education who are female (%),Developed countries,2007,48.66827,
Percentage of students in primary education who are female (%),Developed countries,2008,48.70865,
Percentage of students in primary education who are female (%),Developed countries,2009,48.7472,
Percentage of students in primary education who are female (%),Developed countries,2010,48.64025,
Percentage of students in primary education who are female (%),Developed countries,2011,48.77908,
Percentage of students in primary education who are female (%),Developed countries,2012,48.63874,
Percentage of students in primary education who are female (%),Samoa,1999,47.64992,
Percentage of students in primary education who are female (%),Samoa,2000,48.09106,
Percentage of students in primary education who are female (%),Samoa,2001,48.11834,
Percentage of students in primary education who are female (%),Samoa,2002,47.96594,
Percentage of students in primary education who are female (%),Samoa,2003,47.84443,
Percentage of students in primary education who are female (%),Samoa,2004,47.96472,
Percentage of students in primary education who are female (%),Samoa,2005,47.88464,
Percentage of students in primary education who are female (%),Samoa,2006,47.80115,
Percentage of students in primary education who are female (%),Samoa,2007,47.95482,
Percentage of students in primary education who are female (%),Samoa,2009,47.51374,
Percentage of students in primary education who are female (%),Samoa,2010,48.11636,
Percentage of students in primary education who are female (%),Samoa,2011,48.58339,
Percentage of students in primary education who are female (%),Samoa,2012,48.50514,
Percentage of students in pre-primary education who are female (%),China,1999,46.39737,
Percentage of students in pre-primary education who are female (%),China,2000,46.05527,
Percentage of students in pre-primary education who are female (%),China,2001,46.07771,
Percentage of students in pre-primary education who are female (%),China,2002,45.38065,
Percentage of students in pre-primary education who are female (%),China,2003,45.31662,
Percentage of students in pre-primary education who are female (%),China,2006,45.09107,
Percentage of students in pre-primary education who are female (%),China,2007,44.84286,
Percentage of students in pre-primary education who are female (%),China,2008,44.77951,
Percentage of students in pre-primary education who are female (%),China,2009,44.91081,
Percentage of students in pre-primary education who are female (%),China,2010,45.07941,
Percentage of students in pre-primary education who are female (%),China,2011,45.44015,
Percentage of students in pre-primary education who are female (%),China,2012,46.10662,
Percentage of students in pre-primary education who are female (%),Finland,1999,48.79012,
Percentage of students in pre-primary education who are female (%),Finland,2000,48.89758,
Percentage of students in pre-primary education who are female (%),Finland,2001,48.92706,
Percentage of students in pre-primary education who are female (%),Finland,2002,48.77833,
Percentage of students in pre-primary education who are female (%),Finland,2003,48.80282,
Percentage of students in pre-primary education who are female (%),Finland,2004,48.80048,
Percentage of students in pre-primary education who are female (%),Finland,2005,48.69207,
Percentage of students in pre-primary education who are female (%),Finland,2006,48.60656,
Percentage of students in pre-primary education who are female (%),Finland,2007,48.58886,
Percentage of students in pre-primary education who are female (%),Finland,2008,48.68065,
Percentage of students in pre-primary education who are female (%),Finland,2009,48.70811,
Percentage of students in pre-primary education who are female (%),Finland,2010,48.79516,
Percentage of students in pre-primary education who are female (%),Finland,2011,48.6927,
Percentage of students in pre-primary education who are female (%),Finland,2012,48.77819,
Percentage of students in secondary education who are female (%),Togo,1999,28.61978,
Percentage of students in secondary education who are female (%),Togo,2000,30.89683,
Percentage of students in secondary education who are female (%),Togo,2001,31.4347,
Percentage of students in secondary education who are female (%),Togo,2002,32.31088,
Percentage of students in secondary education who are female (%),Togo,2003,33.00269,
Percentage of students in secondary education who are female (%),Togo,2004,34.01628,
Percentage of students in secondary education who are female (%),Togo,2005,34.68935,
Percentage of students in secondary education who are female (%),Togo,2006,35.31219,
Percentage of students in secondary education who are female (%),Togo,2007,34.59351,ﾇ
Percentage of students in post-secondary non-tertiary education who are female (%),Netherlands,1999,35.60143,
Percentage of students in post-secondary non-tertiary education who are female (%),Netherlands,2000,41.44811,
Percentage of students in post-secondary non-tertiary education who are female (%),Netherlands,2001,42.05737,
Percentage of students in post-secondary non-tertiary education who are female (%),Netherlands,2002,13.40206,
Percentage of students in post-secondary non-tertiary education who are female (%),Netherlands,2003,18.45909,
Percentage of students in post-secondary non-tertiary education who are female (%),Netherlands,2004,22.78116,
Percentage of students in post-secondary non-tertiary education who are female (%),Netherlands,2005,28.78767,
Percentage of students in post-secondary non-tertiary education who are female (%),Netherlands,2006,30.09789,
Percentage of students in post-secondary non-tertiary education who are female (%),Netherlands,2007,26.91569,
Percentage of students in post-secondary non-tertiary education who are female (%),Netherlands,2008,23.6019,
Percentage of students in post-secondary non-tertiary education who are female (%),Netherlands,2009,19.14097,
Percentage of students in post-secondary non-tertiary education who are female (%),Netherlands,2010,13.83025,
Percentage of students in post-secondary non-tertiary education who are female (%),Netherlands,2011,14.31641,
Percentage of students in post-secondary non-tertiary education who are female (%),Netherlands,2012,21.46494,
Percentage of students in pre-primary education who are female (%),Honduras,1999,50.3375,
Percentage of students in pre-primary education who are female (%),Honduras,2000,50.29174,
Percentage of students in pre-primary education who are female (%),Honduras,2003,48.35502,
Percentage of students in pre-primary education who are female (%),Honduras,2004,50.05117,
Percentage of students in pre-primary education who are female (%),Honduras,2005,50.01343,
Percentage of students in pre-primary education who are female (%),Honduras,2006,50.22036,
Percentage of students in pre-primary education who are female (%),Honduras,2007,49.82037,
Percentage of students in pre-primary education who are female (%),Honduras,2008,49.68777,
Percentage of students in pre-primary education who are female (%),Honduras,2009,50.56899,
Percentage of students in pre-primary education who are female (%),Honduras,2010,49.71429,
Percentage of students in pre-primary education who are female (%),Honduras,2011,49.60712,
Percentage of students in pre-primary education who are female (%),Honduras,2012,49.65208,
Percentage of students in upper secondary education who are female (%),High income countries,1999,49.4419,ﾇ
Percentage of students in upper secondary education who are female (%),High income countries,2000,49.14696,
Percentage of students in upper secondary education who are female (%),High income countries,2001,49.23526,
Percentage of students in upper secondary education who are female (%),High income countries,2002,48.98258,
Percentage of students in upper secondary education who are female (%),High income countries,2003,49.00626,
Percentage of students in upper secondary education who are female (%),High income countries,2004,48.85384,
Percentage of students in upper secondary education who are female (%),High income countries,2005,49.06664,
Percentage of students in upper secondary education who are female (%),High income countries,2006,48.69079,
Percentage of students in upper secondary education who are female (%),High income countries,2007,48.67842,
Percentage of students in upper secondary education who are female (%),High income countries,2008,48.59979,
Percentage of students in upper secondary education who are female (%),High income countries,2009,48.69557,
Percentage of students in upper secondary education who are female (%),High income countries,2010,48.54052,
Percentage of students in upper secondary education who are female (%),High income countries,2011,48.53848,
Percentage of students in upper secondary education who are female (%),High income countries,2012,48.43878,
Percentage of students in post-secondary non-tertiary education who are female (%),Argentina,1999,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Argentina,2000,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Argentina,2001,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Argentina,2002,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Argentina,2003,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Argentina,2004,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Argentina,2005,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Argentina,2006,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Argentina,2007,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Argentina,2008,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Argentina,2009,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Argentina,2010,,a
Percentage of students in post-secondary non-tertiary education who are female (%),Argentina,2011,,a
Percentage of students in primary education who are female (%),Asia,1999,46.09285,ﾇ
Percentage of students in primary education who are female (%),Asia,2000,46.14827,ﾇ
Percentage of students in primary education who are female (%),Asia,2001,46.22697,
Percentage of students in primary education who are female (%),Asia,2002,46.24463,
Percentage of students in primary education who are female (%),Asia,2003,47.02393,
Percentage of students in primary education who are female (%),Asia,2004,46.92797,ﾇ
Percentage of students in primary education who are female (%),Asia,2005,47.00627,ﾇ
Percentage of students in primary education who are female (%),Asia,2006,47.04426,
Percentage of students in primary education who are female (%),Asia,2007,47.06171,
Percentage of students in primary education who are female (%),Asia,2008,47.28905,
Percentage of students in primary education who are female (%),Asia,2009,47.36573,
Percentage of students in primary education who are female (%),Asia,2010,47.42195,
Percentage of students in primary education who are female (%),Asia,2011,47.51183,
Percentage of students in primary education who are female (%),Asia,2012,47.47313,ﾇ
Percentage of students in lower secondary education who are female (%),Uzbekistan,1999,49.626,
Percentage of students in lower secondary education who are female (%),Uzbekistan,2000,49.18675,
Percentage of students in lower secondary education who are female (%),Uzbekistan,2001,48.81607,
Percentage of students in lower secondary education who are female (%),Uzbekistan,2002,49.21528,
Percentage of students in lower secondary education who are female (%),Uzbekistan,2003,49.06377,
Percentage of students in lower secondary education who are female (%),Uzbekistan,2004,48.77252,
Percentage of students in lower secondary education who are female (%),Uzbekistan,2005,48.78107,
Percentage of students in lower secondary education who are female (%),Uzbekistan,2006,48.75186,
Percentage of students in lower secondary education who are female (%),Uzbekistan,2007,48.72241,
Percentage of students in lower secondary education who are female (%),Uzbekistan,2008,48.74915,
Percentage of students in lower secondary education who are female (%),Uzbekistan,2009,48.75032,
Percentage of students in lower secondary education who are female (%),Uzbekistan,2010,48.65834,
Percentage of students in lower secondary education who are female (%),Uzbekistan,2011,48.65002,
Percentage of students in secondary education who are female (%),Barbados,1999,50.64329,
Percentage of students in secondary education who are female (%),Barbados,2000,50.25695,
Percentage of students in secondary education who are female (%),Barbados,2001,49.41532,
Percentage of students in secondary education who are female (%),Barbados,2002,49.42507,
Percentage of students in secondary education who are female (%),Barbados,2003,49.73505,
Percentage of students in secondary education who are female (%),Barbados,2004,49.65258,
Percentage of students in secondary education who are female (%),Barbados,2005,49.35101,
Percentage of students in secondary education who are female (%),Barbados,2006,50.20858,
Percentage of students in secondary education who are female (%),Barbados,2007,49.97821,
Percentage of students in secondary education who are female (%),Barbados,2008,50.25323,+
Percentage of students in secondary education who are female (%),Barbados,2009,49.96989,+
Percentage of students in secondary education who are female (%),Barbados,2010,49.56147,+
Percentage of students in secondary education who are female (%),Barbados,2011,50.19801,
Percentage of students in secondary education who are female (%),Latvia,1999,49.94655,
Percentage of students in secondary education who are female (%),Latvia,2000,49.6514,
Percentage of students in secondary education who are female (%),Latvia,2001,49.31563,
Percentage of students in secondary education who are female (%),Latvia,2002,49.05761,
Percentage of students in secondary education who are female (%),Latvia,2003,48.81516,
Percentage of students in secondary education who are female (%),Latvia,2004,48.80473,
Percentage of students in secondary education who are female (%),Latvia,2005,48.99367,
Percentage of students in secondary education who are female (%),Latvia,2006,49.09222,
Percentage of students in secondary education who are female (%),Latvia,2007,49.61455,
Percentage of students in secondary education who are female (%),Latvia,2008,49.58945,
Percentage of students in secondary education who are female (%),Latvia,2009,49.28849,
Percentage of students in secondary education who are female (%),Latvia,2010,48.51908,
Percentage of students in secondary education who are female (%),Latvia,2011,48.03368,
Percentage of students in secondary education who are female (%),Latvia,2012,48.00564,
Percentage of students in primary education who are female (%),Zambia,1999,47.79377,
Percentage of students in primary education who are female (%),Zambia,2000,48.07863,
Percentage of students in primary education who are female (%),Zambia,2001,48.17922,
Percentage of students in primary education who are female (%),Zambia,2002,48.076,
Percentage of students in primary education who are female (%),Zambia,2004,48.66727,
Percentage of students in primary education who are female (%),Zambia,2005,48.67011,
Percentage of students in primary education who are female (%),Zambia,2006,49.33719,
Percentage of students in primary education who are female (%),Zambia,2007,49.05,
Percentage of students in primary education who are female (%),Zambia,2008,49.25295,
Percentage of students in primary education who are female (%),Zambia,2009,49.52974,
Percentage of students in primary education who are female (%),Zambia,2010,50.10781,
Percentage of students in primary education who are female (%),Zambia,2011,49.63909,
Percentage of students in primary education who are female (%),Zambia,2012,49.97305,
Percentage of students in pre-primary education who are female (%),Mongolia,1999,53.66156,
Percentage of students in pre-primary education who are female (%),Mongolia,2000,49.84357,
Percentage of students in pre-primary education who are female (%),Mongolia,2001,51.43138,
Percentage of students in pre-primary education who are female (%),Mongolia,2002,52.66577,
Percentage of students in pre-primary education who are female (%),Mongolia,2003,52.04592,
Percentage of students in pre-primary education who are female (%),Mongolia,2004,50.78202,
Percentage of students in pre-primary education who are female (%),Mongolia,2005,51.67646,
Percentage of students in pre-primary education who are female (%),Mongolia,2006,52.02866,
Percentage of students in pre-primary education who are female (%),Mongolia,2007,50.51636,
Percentage of students in pre-primary education who are female (%),Mongolia,2008,51.14735,
Percentage of students in pre-primary education who are female (%),Mongolia,2009,50.36675,
Percentage of students in pre-primary education who are female (%),Mongolia,2010,50.29458,
Percentage of students in pre-primary education who are female (%),Mongolia,2011,50.4533,
Percentage of students in pre-primary education who are female (%),Mongolia,2012,49.67867,
Percentage of students in secondary education who are female (%),Low income countries,1999,44.64056,
Percentage of students in secondary education who are female (%),Low income countries,2000,45.17299,
Percentage of students in secondary education who are female (%),Low income countries,2001,45.24625,
Percentage of students in secondary education who are female (%),Low income countries,2002,45.39007,
Percentage of students in secondary education who are female (%),Low income countries,2003,45.49072,
Percentage of students in secondary education who are female (%),Low income countries,2004,44.36216,
Percentage of students in secondary education who are female (%),Low income countries,2005,44.88575,
Percentage of students in secondary education who are female (%),Low income countries,2006,44.72704,
Percentage of students in secondary education who are female (%),Low income countries,2007,44.81709,
Percentage of students in secondary education who are female (%),Low income countries,2008,45.40205,
Percentage of students in secondary education who are female (%),Low income countries,2009,45.32707,
Percentage of students in secondary education who are female (%),Low income countries,2010,45.95481,
Percentage of students in secondary education who are female (%),Low income countries,2011,46.4141,
Percentage of students in secondary education who are female (%),Low income countries,2012,46.56535,
Percentage of students in lower secondary education who are female (%),Ghana,1999,44.96019,
Percentage of students in lower secondary education who are female (%),Ghana,2000,45.36091,
Percentage of students in lower secondary education who are female (%),Ghana,2001,45.66004,
Percentage of students in lower secondary education who are female (%),Ghana,2002,45.87633,
Percentage of students in lower secondary education who are female (%),Ghana,2003,45.79914,
Percentage of students in lower secondary education who are female (%),Ghana,2004,45.74485,
Percentage of students in lower secondary education who are female (%),Ghana,2005,45.74029,
Percentage of students in lower secondary education who are female (%),Ghana,2006,45.32899,
Percentage of students in lower secondary education who are female (%),Ghana,2007,46.56345,
Percentage of students in lower secondary education who are female (%),Ghana,2008,46.72146,
Percentage of students in lower secondary education who are female (%),Ghana,2009,46.70507,
Percentage of students in lower secondary education who are female (%),Ghana,2011,46.91911,
Percentage of students in lower secondary education who are female (%),Ghana,2012,47.37088,
Percentage of students in lower secondary education who are female (%),Ghana,2013,47.68688,
Percentage of students in pre-primary education who are female (%),Greece,1999,48.84013,
Percentage of students in pre-primary education who are female (%),Greece,2000,48.89134,
Percentage of students in pre-primary education who are female (%),Greece,2001,49.09144,
Percentage of students in pre-primary education who are female (%),Greece,2002,49.30765,
Percentage of students in pre-primary education who are female (%),Greece,2003,49.16474,
Percentage of students in pre-primary education who are female (%),Greece,2004,49.12467,
Percentage of students in pre-primary education who are female (%),Greece,2005,49.13945,
Percentage of students in pre-primary education who are female (%),Greece,2006,49.10968,
Percentage of students in pre-primary education who are female (%),Greece,2007,48.95841,
Percentage of students in pre-primary education who are female (%),Greece,2010,48.67863,
Percentage of students in pre-primary education who are female (%),Greece,2011,48.64002,
Percentage of students in secondary education who are female (%),World,1999,46.51794,ﾇ
Percentage of students in secondary education who are female (%),World,2000,46.57401,ﾇ
Percentage of students in secondary education who are female (%),World,2001,46.63281,
Percentage of students in secondary education who are female (%),World,2002,46.71459,
Percentage of students in secondary education who are female (%),World,2003,47.05202,
Percentage of students in secondary education who are female (%),World,2004,47.05297,
Percentage of students in secondary education who are female (%),World,2005,47.20212,
Percentage of students in secondary education who are female (%),World,2006,47.24532,
Percentage of students in secondary education who are female (%),World,2007,47.3432,
Percentage of students in secondary education who are female (%),World,2008,47.45558,
Percentage of students in secondary education who are female (%),World,2009,47.68396,
Percentage of students in secondary education who are female (%),World,2010,47.52234,
Percentage of students in secondary education who are female (%),World,2011,47.57688,
Percentage of students in secondary education who are female (%),World,2012,47.59745,
Percentage of students in primary education who are female (%),Guinea,1999,38.08462,
Percentage of students in primary education who are female (%),Guinea,2000,39.82026,
Percentage of students in primary education who are female (%),Guinea,2001,41.05395,
Percentage of students in primary education who are female (%),Guinea,2002,41.85417,
Percentage of students in primary education who are female (%),Guinea,2003,42.67666,
Percentage of students in primary education who are female (%),Guinea,2004,43.32641,
Percentage of students in primary education who are female (%),Guinea,2005,44.08453,
Percentage of students in primary education who are female (%),Guinea,2006,44.81621,
Percentage of students in primary education who are female (%),Guinea,2007,45.22834,
Percentage of students in primary education who are female (%),Guinea,2008,45.15508,
Percentage of students in primary education who are female (%),Guinea,2009,45.26378,
Percentage of students in primary education who are female (%),Guinea,2010,44.75541,
Percentage of students in primary education who are female (%),Guinea,2011,45.60272,
Percentage of students in primary education who are female (%),Guinea,2012,45.351,
Percentage of students in upper secondary education who are female (%),Tuvalu,2001,42.63566,
Percentage of students in secondary education who are female (%),Paraguay,1999,50.1832,
Percentage of students in secondary education who are female (%),Paraguay,2000,50.06445,
Percentage of students in secondary education who are female (%),Paraguay,2001,49.78381,
Percentage of students in secondary education who are female (%),Paraguay,2002,49.59802,
Percentage of students in secondary education who are female (%),Paraguay,2003,49.56771,
Percentage of students in secondary education who are female (%),Paraguay,2004,49.69268,
Percentage of students in secondary education who are female (%),Paraguay,2005,49.86105,
Percentage of students in secondary education who are female (%),Paraguay,2006,50.08076,
Percentage of students in secondary education who are female (%),Paraguay,2007,50.12488,
Percentage of students in secondary education who are female (%),Paraguay,2008,50.28487,
Percentage of students in secondary education who are female (%),Paraguay,2009,50.3274,
Percentage of students in secondary education who are female (%),Paraguay,2010,50.40634,
Percentage of students in secondary education who are female (%),Paraguay,2011,50.44037,
Percentage of students in secondary education who are female (%),Sweden,1999,54.47179,
Percentage of students in secondary education who are female (%),Sweden,2000,54.59826,
Percentage of students in secondary education who are female (%),Sweden,2001,54.42858,
Percentage of students in secondary education who are female (%),Sweden,2002,53.48499,
Percentage of students in secondary education who are female (%),Sweden,2003,52.86663,
Percentage of students in secondary education who are female (%),Sweden,2004,49.46235,
Percentage of students in secondary education who are female (%),Sweden,2005,48.56273,
Percentage of students in secondary education who are female (%),Sweden,2006,48.54916,
Percentage of students in secondary education who are female (%),Sweden,2007,48.52681,
Percentage of students in secondary education who are female (%),Sweden,2008,48.55338,
Percentage of students in secondary education who are female (%),Sweden,2009,48.49194,
Percentage of students in secondary education who are female (%),Sweden,2010,48.39109,
Percentage of students in secondary education who are female (%),Sweden,2011,48.356,
Percentage of students in secondary education who are female (%),Sweden,2012,48.25994,
Percentage of students in pre-primary education who are female (%),North America,1999,48.6561,
Percentage of students in pre-primary education who are female (%),North America,2000,49.3174,
Percentage of students in pre-primary education who are female (%),North America,2001,49.38094,ﾇ
Percentage of students in pre-primary education who are female (%),North America,2002,49.47332,
Percentage of students in pre-primary education who are female (%),North America,2003,48.94435,ﾇ
Percentage of students in pre-primary education who are female (%),North America,2004,48.49094,
Percentage of students in pre-primary education who are female (%),North America,2005,48.04518,
Percentage of students in pre-primary education who are female (%),North America,2006,49.10672,
Percentage of students in pre-primary education who are female (%),North America,2007,48.80549,
Percentage of students in pre-primary education who are female (%),North America,2008,48.99236,
Percentage of students in pre-primary education who are female (%),North America,2009,48.91535,
Percentage of students in pre-primary education who are female (%),North America,2010,49.60521,
Percentage of students in pre-primary education who are female (%),North America,2011,48.7626,
Percentage of students in pre-primary education who are female (%),North America,2012,48.73428,
Percentage of students in lower secondary education who are female (%),Russian Federation,1999,49.42852,
Percentage of students in lower secondary education who are female (%),Russian Federation,2000,49.32241,
Percentage of students in lower secondary education who are female (%),Russian Federation,2001,49.27297,
Percentage of students in lower secondary education who are female (%),Russian Federation,2002,49.18925,
Percentage of students in lower secondary education who are female (%),Russian Federation,2003,49.12403,
Percentage of students in lower secondary education who are female (%),Russian Federation,2004,49.08847,
Percentage of students in lower secondary education who are female (%),Russian Federation,2005,49.04546,
Percentage of students in lower secondary education who are female (%),Russian Federation,2006,49.0317,
Percentage of students in lower secondary education who are female (%),Russian Federation,2007,49.10191,
